Gene ID,Seed_Gene,GeneA,GeneB
12,IL31RA,133396,202
12,IL31RA,133396,341208
12,IL31RA,133396,5333
12,IL31RA,133396,391123
12,IL31RA,133396,147409
12,IL31RA,133396,11072
12,IL31RA,133396,131578
12,IL31RA,133396,8991
12,IL31RA,133396,4759
12,IL31RA,133396,11187
12,IL31RA,133396,55
12,IL31RA,133396,810
13,IL6ST,3572,7088
13,IL6ST,3572,1271
13,IL6ST,1271,3572
13,IL6ST,367,3572
13,IL6ST,3977,3572
13,IL6ST,1025,3572
13,IL6ST,3716,3572
13,IL6ST,3716,3572
13,IL6ST,3570,3572
13,IL6ST,3572,5781
13,IL6ST,3572,9021
13,IL6ST,3572,9021
13,IL6ST,3572,5777
13,IL6ST,6464,3572
13,IL6ST,6464,3572
13,IL6ST,3572,3716
13,IL6ST,3572,5580
13,IL6ST,3572,6774
13,IL6ST,3572,5295
13,IL6ST,3055,3572
13,IL6ST,3572,2064
13,IL6ST,2064,3572
13,IL6ST,3572,2065
13,IL6ST,3572,7409
13,IL6ST,3572,2885
13,IL6ST,3572,2885
13,IL6ST,3572,3977
13,IL6ST,3572,9180
13,IL6ST,3572,7088
13,IL6ST,3572,5781
13,IL6ST,3572,3716
13,IL6ST,3572,3717
13,IL6ST,3572,7297
13,IL6ST,3572,5781
13,IL6ST,3572,9021
13,IL6ST,3572,5781
13,IL6ST,3572,4110
13,IL6ST,3572,29979
13,IL6ST,3572,30818
13,IL6ST,3572,54557
13,IL6ST,29108,3572
13,IL6ST,5008,3572
13,IL6ST,9021,3572
13,IL6ST,5008,3572
13,IL6ST,999,3572
13,IL6ST,16195,5781
13,IL6ST,16195,867
14,JAZF1,7182,221895
14,JAZF1,221895,5468
14,JAZF1,221895,6256
14,JAZF1,8089,221895
14,JAZF1,8089,221895
14,JAZF1,8295,221895
14,JAZF1,64769,221895
14,JAZF1,8607,221895
14,JAZF1,9643,221895
14,JAZF1,4610,221895
14,JAZF1,8089,221895
14,JAZF1,255626,221895
14,JAZF1,56505,221895
15,LACC1,144811,25942
15,LACC1,144811,57532
15,LACC1,144811,51742
15,LACC1,144811,23131
15,LACC1,144811,84312
15,LACC1,144811,51526
15,LACC1,144811,341208
15,LACC1,144811,7257
15,LACC1,144811,5268
15,LACC1,144811,5515
15,LACC1,144811,64426
15,LACC1,144811,11187
15,LACC1,144811,7840
15,LACC1,144811,8991
15,LACC1,144811,11072
15,LACC1,144811,131578
15,LACC1,144811,1164
15,LACC1,144811,440686
15,LACC1,144811,3021
15,LACC1,144811,147409
15,LACC1,144811,65986
15,LACC1,144811,8338
15,LACC1,144811,285973
15,LACC1,144811,391123
15,LACC1,144811,5355
15,LACC1,114299,144811
15,LACC1,5000,144811
15,LACC1,3300,144811
15,LACC1,144811,5159
15,LACC1,29886,144811
15,LACC1,144811,5268
15,LACC1,144811,285973
15,LACC1,144811,8338
15,LACC1,51526,144811
15,LACC1,144811,3021
15,LACC1,144811,7257
15,LACC1,9550,144811
15,LACC1,144811,11072
15,LACC1,144811,84312
15,LACC1,144811,64426
15,LACC1,144811,1164
15,LACC1,144811,440686
15,LACC1,7178,144811
15,LACC1,5879,144811
15,LACC1,3300,144811
15,LACC1,114299,144811
15,LACC1,144811,391123
15,LACC1,144811,341208
15,LACC1,144811,23131
15,LACC1,144811,254773
15,LACC1,144811,131578
15,LACC1,144811,65986
15,LACC1,10395,144811
15,LACC1,144811,147409
15,LACC1,144811,11187
15,LACC1,144811,221301
15,LACC1,5000,144811
15,LACC1,144811,8991
15,LACC1,144811,51742
15,LACC1,144811,25942
15,LACC1,144811,5355
15,LACC1,144811,55
15,LACC1,144811,7840
16,LGALS9,3965,1499
16,LGALS9,3965,3728
16,LGALS9,3965,6510
16,LGALS9,3965,5034
16,LGALS9,3965,2923
16,LGALS9,3965,10130
16,LGALS9,3965,5796
16,LGALS9,3965,11342
16,LGALS9,3965,79932
16,LGALS9,3965,493
16,LGALS9,3965,4233
16,LGALS9,3965,6558
16,LGALS9,3965,64121
16,LGALS9,3965,4238
16,LGALS9,3965,81035
16,LGALS9,3965,22795
16,LGALS9,3965,214
16,LGALS9,3965,135228
16,LGALS9,3965,5738
16,LGALS9,3965,374383
16,LGALS9,3965,6653
16,LGALS9,3965,5420
16,LGALS9,3965,3912
16,LGALS9,3965,5795
16,LGALS9,3965,2335
16,LGALS9,3965,10444
16,LGALS9,3965,965
16,LGALS9,3965,6560
16,LGALS9,3965,9990
16,LGALS9,3965,3910
16,LGALS9,3965,2030
16,LGALS9,3965,286410
16,LGALS9,3965,4669
16,LGALS9,3965,284217
16,LGALS9,3965,4012
16,LGALS9,3965,4125
16,LGALS9,3965,5361
16,LGALS9,3965,1605
16,LGALS9,3965,9497
16,LGALS9,3965,9902
